date,epiweek,region,fips,hospitalizedIncrease,death_jhu_cumulative,death_jhu_incidence
1/4/20,202001,X,US,0,0,0
1/11/20,202002,X,US,0,0,0
1/18/20,202003,X,US,0,0,0
1/25/20,202004,X,US,0,0,0
2/1/20,202005,X,US,0,0,0
2/8/20,202006,X,US,0,0,0
2/15/20,202007,X,US,0,0,0
2/22/20,202008,X,US,0,0,0
2/29/20,202009,X,US,0,1,1
3/7/20,202010,X,US,2,17,16
3/14/20,202011,X,US,20,58,41
3/21/20,202012,X,US,1994,464,406
3/28/20,202013,X,US,14244,2891,2427
4/4/20,202014,X,US,30564.5,10891,8000
4/11/20,202015,X,US,45540.25,25528,14637
4/18/20,202016,X,US,36485.375,40567,15039
4/25/20,202017,X,US,32629.8125,55986,15419
5/2/20,202018,X,US,36861.3438,69535,13549
5/9/20,202019,X,US,32316.8281,81817,12282
5/16/20,202020,X,US,22979.5859,91791,9974
5/23/20,202021,X,US,25971.207,100346,8555
5/30/20,202022,X,US,35022.3965,106983,6637
6/6/20,202023,X,US,20534.8018,113099,6116
6/13/20,202024,X,US,16503.5991,118313,5214
6/20/20,202025,X,US,16159.2004,122538,4225
6/27/20,202026,X,US,20168.8998,126478,3940
7/4/20,202027,X,US,23248.0501,130120,3642
7/11/20,202028,X,US,31982.9749,135351,5231
7/18/20,202029,X,US,31495.0125,140812,5461
7/25/20,202030,X,US,33747.4937,147226,6414
8/1/20,202031,X,US,33813.7531,155196,7970
8/8/20,202032,X,US,36241.1234,162466,7270
8/15/20,202033,X,US,27565.9383,169519,7053
8/22/20,202034,X,US,23108.5309,176376,6857
8/29/20,202035,X,US,20149.2346,182773,6397
9/5/20,202036,X,US,18278.3827,188602,5829
9/12/20,202037,X,US,16636.8086,193745,5143
9/19/20,202038,X,US,16591.5957,199339,5594
9/26/20,202039,X,US,16744.7022,204729,5390
10/3/20,202040,X,US,17671.6489,209636,4907
10/10/20,202041,X,US,21141.6755,214656,5020
10/17/20,202042,X,US,22299.6622,219676,5020
10/24/20,202043,X,US,37938.1689,225382,5706
10/31/20,202044,X,US,27903.4156,231125,5743
11/7/20,202045,X,US,33691.2922,238018,6893
11/14/20,202046,X,US,42258.3539,245598,7580
1/4/20,202001,AL,1,0,0,0
1/11/20,202002,AL,1,0,0,0
1/18/20,202003,AL,1,0,0,0
1/25/20,202004,AL,1,0,0,0
2/1/20,202005,AL,1,0,0,0
2/8/20,202006,AL,1,0,0,0
2/15/20,202007,AL,1,0,0,0
2/22/20,202008,AL,1,0,0,0
