date,epiweek,region,fips,hospitalizedIncrease,death_jhu_cumulative,death_jhu_incidence
1/1/20,202001,X,US,0,0,0
1/2/20,202001,X,US,0,0,0
1/3/20,202001,X,US,0,0,0
1/4/20,202001,X,US,0,0,0
1/5/20,202002,X,US,0,0,0
1/6/20,202002,X,US,0,0,0
1/7/20,202002,X,US,0,0,0
1/8/20,202002,X,US,0,0,0
1/9/20,202002,X,US,0,0,0
1/10/20,202002,X,US,0,0,0
1/11/20,202002,X,US,0,0,0
1/12/20,202003,X,US,0,0,0
1/13/20,202003,X,US,0,0,0
1/14/20,202003,X,US,0,0,0
1/15/20,202003,X,US,0,0,0
1/16/20,202003,X,US,0,0,0
1/17/20,202003,X,US,0,0,0
1/18/20,202003,X,US,0,0,0
1/19/20,202004,X,US,0,0,0
1/20/20,202004,X,US,0,0,0
1/21/20,202004,X,US,0,0,0
1/22/20,202004,X,US,0,0,0
1/23/20,202004,X,US,0,0,0
1/24/20,202004,X,US,0,0,0
1/25/20,202004,X,US,0,0,0
1/26/20,202005,X,US,0,0,0
1/27/20,202005,X,US,0,0,0
1/28/20,202005,X,US,0,0,0
1/29/20,202005,X,US,0,0,0
1/30/20,202005,X,US,0,0,0
1/31/20,202005,X,US,0,0,0
2/1/20,202005,X,US,0,0,0
2/2/20,202006,X,US,0,0,0
2/3/20,202006,X,US,0,0,0
2/4/20,202006,X,US,0,0,0
2/5/20,202006,X,US,0,0,0
2/6/20,202006,X,US,0,0,0
2/7/20,202006,X,US,0,0,0
2/8/20,202006,X,US,0,0,0
2/9/20,202007,X,US,0,0,0
2/10/20,202007,X,US,0,0,0
2/11/20,202007,X,US,0,0,0
2/12/20,202007,X,US,0,0,0
2/13/20,202007,X,US,0,0,0
2/14/20,202007,X,US,0,0,0
2/15/20,202007,X,US,0,0,0
2/16/20,202008,X,US,0,0,0
2/17/20,202008,X,US,0,0,0
2/18/20,202008,X,US,0,0,0
2/19/20,202008,X,US,0,0,0
2/20/20,202008,X,US,0,0,0
2/21/20,202008,X,US,0,0,0
2/22/20,202008,X,US,0,0,0
2/23/20,202009,X,US,0,0,0
2/24/20,202009,X,US,0,0,0
2/25/20,202009,X,US,0,0,0
2/26/20,202009,X,US,0,0,0
2/27/20,202009,X,US,0,0,0
2/28/20,202009,X,US,0,0,0
2/29/20,202009,X,US,0,1,1
3/1/20,202010,X,US,0,1,0
3/2/20,202010,X,US,0,6,5
3/3/20,202010,X,US,0,7,1
3/4/20,202010,X,US,0,11,4
3/5/20,202010,X,US,1,12,1
3/6/20,202010,X,US,1,14,2
3/7/20,202010,X,US,0,17,3
3/8/20,202011,X,US,0,21,4
3/9/20,202011,X,US,2,22,1
3/10/20,202011,X,US,0,28,6
3/11/20,202011,X,US,3,33,5
3/12/20,202011,X,US,5,43,10
3/13/20,202011,X,US,6,51,8
3/14/20,202011,X,US,4,58,7
3/15/20,202012,X,US,10,70,12
3/16/20,202012,X,US,6,97,27
3/17/20,202012,X,US,13,132,35
3/18/20,202012,X,US,12,191,59
3/19/20,202012,X,US,18,264,73
3/20/20,202012,X,US,23,365,101
3/21/20,202012,X,US,1912,464,99
3/22/20,202013,X,US,1300,574,110
3/23/20,202013,X,US,1211,762,188
3/24/20,202013,X,US,1473,1003,241
3/25/20,202013,X,US,2199,1329,326
3/26/20,202013,X,US,2798,1741,412
3/27/20,202013,X,US,2617,2259,518
3/28/20,202013,X,US,2646,2891,632
3/29/20,202014,X,US,3299.9286,3483,592
3/30/20,202014,X,US,3108.9286,4179,696
3/31/20,202014,X,US,4343.9286,5270,1091
4/1/20,202014,X,US,4686.9286,6449,1179
4/2/20,202014,X,US,4628.9286,7953,1504
4/3/20,202014,X,US,4997.9286,9348,1395
4/4/20,202014,X,US,5497.9286,10891,1543
4/5/20,202015,X,US,6349.3214,12458,1567
4/6/20,202015,X,US,5386.3214,14234,1776
4/7/20,202015,X,US,6734.3214,16798,2564
4/8/20,202015,X,US,6828.3214,18953,2155
4/9/20,202015,X,US,6681.3214,21184,2231
4/10/20,202015,X,US,7449.3214,23395,2211
4/11/20,202015,X,US,6111.3214,25528,2133
4/12/20,202016,X,US,4964.4821,27333,1805
4/13/20,202016,X,US,5962.4821,29281,1948
4/14/20,202016,X,US,4959.4821,31726,2445
4/15/20,202016,X,US,5338.4821,34332,2606
4/16/20,202016,X,US,5042.4821,36505,2173
4/17/20,202016,X,US,5082.4821,38597,2092
4/18/20,202016,X,US,5135.4821,40567,1970
4/19/20,202017,X,US,4324.1161,42499,1932
4/20/20,202017,X,US,4298.1161,44679,2180
4/21/20,202017,X,US,4767.1161,47220,2541
4/22/20,202017,X,US,5174.1161,49658,2438
4/23/20,202017,X,US,4919.1161,52125,2467
4/24/20,202017,X,US,4607.1161,54283,2158
4/25/20,202017,X,US,4540.1161,55986,1703
4/26/20,202018,X,US,3904.4777,57320,1334
4/27/20,202018,X,US,5080.4777,58787,1467
4/28/20,202018,X,US,3792.4777,61027,2240
4/29/20,202018,X,US,4836.4777,63554,2527
4/30/20,202018,X,US,4003.4777,65971,2417
5/1/20,202018,X,US,11501.4777,67848,1877
5/2/20,202018,X,US,3742.4777,69535,1687
5/3/20,202019,X,US,3715.404,70637,1102
5/4/20,202019,X,US,3402.404,71955,1318
5/5/20,202019,X,US,3735.404,74255,2300
5/6/20,202019,X,US,3871.404,76599,2344
5/7/20,202019,X,US,5494.404,78523,1924
5/8/20,202019,X,US,8644.404,80275,1752
5/9/20,202019,X,US,3453.404,81817,1542
5/10/20,202020,X,US,2605.798,82717,900
5/11/20,202020,X,US,2788.798,83719,1002
5/12/20,202020,X,US,3155.798,85333,1614
5/13/20,202020,X,US,3359.798,87082,1749
5/14/20,202020,X,US,4758.798,88856,1774
5/15/20,202020,X,US,2903.798,90520,1664
5/16/20,202020,X,US,3406.798,91791,1271
5/17/20,202021,X,US,2622.4581,92547,756
5/18/20,202021,X,US,2581.4581,93713,1166
5/19/20,202021,X,US,3021.4581,95239,1526
5/20/20,202021,X,US,3420.4581,96757,1518
5/21/20,202021,X,US,6054.4581,97968,1211
5/22/20,202021,X,US,5469.4581,99213,1245
5/23/20,202021,X,US,2801.4581,100346,1133
5/24/20,202022,X,US,2249.0566,100962,616
5/25/20,202022,X,US,2330.0566,101520,558
5/26/20,202022,X,US,18648.0566,102184,664
5/27/20,202022,X,US,3042.0566,103691,1507
5/28/20,202022,X,US,2958.0566,104874,1183
5/29/20,202022,X,US,3043.0566,106029,1155
5/30/20,202022,X,US,2752.0566,106983,954
5/31/20,202023,X,US,2281.2574,107672,689
6/1/20,202023,X,US,4101.2574,108449,777
6/2/20,202023,X,US,2890.2574,109498,1049
6/3/20,202023,X,US,3562.2574,110492,994
6/4/20,202023,X,US,2588.2574,111497,1005
6/5/20,202023,X,US,2745.2574,112402,905
6/6/20,202023,X,US,2366.2574,113099,697
6/7/20,202024,X,US,1920.657,113540,441
6/8/20,202024,X,US,1900.657,114037,497
6/9/20,202024,X,US,2714.657,114968,931
6/10/20,202024,X,US,2671.657,115867,899
6/11/20,202024,X,US,2570.657,116721,854
6/12/20,202024,X,US,2432.657,117540,819
6/13/20,202024,X,US,2292.657,118313,773
6/14/20,202025,X,US,1942.8858,118626,313
6/15/20,202025,X,US,1849.8858,119008,382
6/16/20,202025,X,US,2605.8858,119829,821
6/17/20,202025,X,US,2434.8858,120561,732
6/18/20,202025,X,US,2358.8858,121270,709
6/19/20,202025,X,US,2917.8858,121931,661
6/20/20,202025,X,US,2048.8858,122538,607
6/21/20,202026,X,US,2293.9857,122831,293
6/22/20,202026,X,US,2578.9857,123214,383
6/23/20,202026,X,US,3034.9857,124056,842
6/24/20,202026,X,US,3084.9857,124812,756
6/25/20,202026,X,US,3035.9857,125358,546
6/26/20,202026,X,US,3301.9857,125978,620
6/27/20,202026,X,US,2837.9857,126478,500
6/28/20,202027,X,US,2674.7214,126757,279
6/29/20,202027,X,US,2764.7214,127136,379
6/30/20,202027,X,US,3685.7214,127784,648
7/1/20,202027,X,US,3531.7214,128474,690
7/2/20,202027,X,US,4095.7214,129194,720
7/3/20,202027,X,US,3530.7214,129853,659
7/4/20,202027,X,US,2964.7214,130120,267
7/5/20,202028,X,US,3080.5678,130410,290
7/6/20,202028,X,US,3284.5678,130768,358
7/7/20,202028,X,US,4449.5678,131974,1206
7/8/20,202028,X,US,4525.5678,132837,863
7/9/20,202028,X,US,4202.5678,133838,1001
7/10/20,202028,X,US,4807.5678,134659,821
7/11/20,202028,X,US,7632.5678,135351,692
7/12/20,202029,X,US,3477.4304,135813,462
7/13/20,202029,X,US,3752.4304,136179,366
7/14/20,202029,X,US,4797.4304,137100,921
7/15/20,202029,X,US,4949.4304,138072,972
7/16/20,202029,X,US,4762.4304,139015,943
7/17/20,202029,X,US,5215.4304,139949,934
7/18/20,202029,X,US,4540.4304,140812,863
7/19/20,202030,X,US,3635.9277,141265,453
7/20/20,202030,X,US,4335.9277,141786,521
7/21/20,202030,X,US,5243.9277,142886,1100
7/22/20,202030,X,US,4939.9277,144106,1220
7/23/20,202030,X,US,5198.9277,145195,1089
7/24/20,202030,X,US,5723.9277,146334,1139
7/25/20,202030,X,US,4668.9277,147226,892
7/26/20,202031,X,US,3539.9647,147705,479
7/27/20,202031,X,US,3797.9647,148829,1124
7/28/20,202031,X,US,6779.9647,150199,1370
7/29/20,202031,X,US,5041.9647,151631,1432
7/30/20,202031,X,US,5486.9647,152844,1213
7/31/20,202031,X,US,4732.9647,154091,1247
8/1/20,202031,X,US,4433.9647,155196,1105
8/2/20,202032,X,US,2924.8748,155605,409
8/3/20,202032,X,US,3841.8748,156143,538
8/4/20,202032,X,US,6611.8748,157517,1374
8/5/20,202032,X,US,4384.8748,158891,1374
8/6/20,202032,X,US,4798.8748,160141,1250
8/7/20,202032,X,US,10147.8748,161377,1236
8/8/20,202032,X,US,3530.8748,162466,1089
8/9/20,202033,X,US,2620.5626,162981,515
8/10/20,202033,X,US,3423.5626,163512,531
8/11/20,202033,X,US,4483.5626,164576,1064
8/12/20,202033,X,US,4808.5626,166083,1507
8/13/20,202033,X,US,4449.5626,167150,1067
8/14/20,202033,X,US,3983.5626,168489,1339
8/15/20,202033,X,US,3796.5626,169519,1030
8/16/20,202034,X,US,2326.6473,170094,575
8/17/20,202034,X,US,2903.6473,170542,448
8/18/20,202034,X,US,3909.6473,171870,1328
8/19/20,202034,X,US,3704.6473,173204,1334
8/20/20,202034,X,US,3637.6473,174283,1079
8/21/20,202034,X,US,3469.6473,175394,1111
8/22/20,202034,X,US,3156.6473,176376,982
8/23/20,202035,X,US,2191.3192,176830,454
8/24/20,202035,X,US,2479.3192,177274,444
8/25/20,202035,X,US,3403.3192,178504,1230
8/26/20,202035,X,US,3300.3192,179733,1229
8/27/20,202035,X,US,3070.3192,180836,1103
8/28/20,202035,X,US,3004.3192,181812,976
8/29/20,202035,X,US,2700.3192,182773,961
8/30/20,202036,X,US,1994.0547,183084,311
8/31/20,202036,X,US,2138.0547,183680,596
9/1/20,202036,X,US,3148.0547,184745,1065
