region,epiweek,week_end_date,historical_endogeneous,confirmed_cases,uci_beds,death,recovered,hosp_rate,hospitalization,cli_er_visit,ili_er_visit,negative_cases,people_tested,emergency_facility_reporting,num_provider,kinsa_cases,wILI,health_tweet
X,202001,4/1/2020,5.929,0,0,0,0,0,0,2.8,2.9,0,0,3379,2964,5.611808025,5.929,0.460897023
X,202002,11/1/2020,4.93706,0,0,0,0,0,0,2.4,2.4,0,0,3395,2994,5.766867809,4.93706,0.42342874
X,202003,18/01/2020,5.33657,3,0,0,0,0,0,1.9,1.9,0,0,3392,2984,5.723268238,5.33657,0.484874174
X,202004,25/01/2020,6.08365,5,0,0,0,0,0,1.9,2,0,0,3398,2986,5.614215028,6.08365,0.446207238
X,202005,1/2/2020,6.74528,4,0,0,0,0,0,2,2.2,0,1,3416,2983,5.530065632,6.74528,0.574664364
X,202006,8/2/2020,6.81077,3,0,0,0,0,0,2.3,2.5,0,0,3430,2992,5.424623417,6.81077,1.058787651
X,202007,15/02/2020,6.12243,15,0,0,0,0,0,2.3,2.5,0,0,3428,2955,6.542166732,6.12243,0.707221577
X,202008,22/02/2020,5.53001,40,0,5,0,0,0,2.1,2.2,23,39,3443,2970,5.505270381,5.53001,0.406116089
X,202009,29/02/2020,5.14101,357,0,22,0,0,0,1.9,2,3201,3796,3442,2926,5.068948978,5.14101,0.857793622
X,202010,7/3/2020,5.28647,2461,0,36,0,0.1,0,1.8,1.9,24398,27895,3451,2894,5.109318654,5.28647,0.962019307
X,202011,14/03/2020,5.71772,21527,0,243,0,0.6,1964,2.2,2.2,150499,174695,3462,2821,4.897412338,5.71772,1.771578284
X,202012,21/03/2020,6.39665,98877,5265,1732,5804,2.9,11758,3.4,3.2,464958,562395,3462,2780,2.87369542,6.39665,2.137247045
X,202013,28/03/2020,4.93934,187963,27571,6449,53625,7.5,24247,6,4.7,719133,902776,3461,2694,1.54433609,4.93934,0.78984157
X,202014,4/4/2020,3.79067,217517,70659,12199,155995,9.2,20967,6.9,4.3,815922,1030793,3469,2647,0.917168179,3.79067,0.884476273
X,202015,11/4/2020,2.79479,200479,100809,13955,317380,8.9,21964,6.9,3.5,823874,1024159,3472,2644,0.568444857,2.79479,0.439622806
X,202016,18/04/2020,2.1138,211244,105069,13428,613274,9.6,18199,6.1,2.5,1272321,1481675,3460,2628,0.475053016,2.1138,0.528837661
X,202017,25/04/2020,1.73359,194523,71683,12641,1017337,9.1,24761,5,1.8,1428253,1621259,3458,2601,0.376868291,1.73359,0.658999186
X,202018,2/5/2020,1.43522,176774,72799,12581,1350209,8.4,19902,4.2,1.4,1703574,1878778,3448,2556,0.323814783,1.43522,0.511312056
X,202019,9/5/2020,1.17872,157736,76860,9724,1695557,7,11964,3.7,1.1,2191660,2349249,3447,2494,0.183616215,1.17872,0.346018316
X,202020,16/05/2020,1.09963,156017,66787,8272,2148939,5.9,16311,3,0.9,2572016,2727275,3446,2420,0.281720695,1.09963,0.296216445
X,202021,23/05/2020,0.968185,98860,42484,4418,1922294,3.8,22938,2.5,0.8,1724770,1822453,3441,2632,0.23061992,0.968185,0.709593015
Region 1,202001,4/1/2020,3.92411,0,0,0,0,0,0,2,1.8,0,0,203,263,5.942894164,3.92411,0.460897023
Region 1,202002,11/1/2020,3.70127,0,0,0,0,0,0,2,1.8,0,0,203,270,6.23235368,3.70127,0.42342874
Region 1,202003,18/01/2020,4.4928,0,0,0,0,0,0,1.7,1.6,0,0,202,268,6.085669863,4.4928,0.484874174
Region 1,202004,25/01/2020,5.30744,1,0,0,0,0,0,1.8,1.8,0,0,202,265,5.887620286,5.30744,0.446207238
Region 1,202005,1/2/2020,6.43852,0,0,0,0,0,0,2,2.1,0,0,202,267,5.843657343,6.43852,0.574664364
Region 1,202006,8/2/2020,7.15259,0,0,0,0,0,0,2.2,2.4,0,0,202,266,5.665169647,7.15259,1.058787651
Region 1,202007,15/02/2020,6.45158,0,0,0,0,0,0,2.2,2.5,0,0,202,265,7.679651263,6.45158,0.707221577
Region 1,202008,22/02/2020,5.68763,0,0,0,0,0,0,2,2.1,0,0,202,267,5.352250773,5.68763,0.406116089
Region 1,202009,29/02/2020,4.60942,20,0,0,0,0,0,1.7,1.7,65,67,202,259,4.897372406,4.60942,0.857793622
Region 1,202010,7/3/2020,4.29197,172,0,0,0,2.39E-07,0,1.6,1.4,882,956,202,262,5.623842628,4.29197,0.962019307
Region 1,202011,14/03/2020,4.8414,805,0,13,0,1.44E-06,61,1.8,1.8,11126,11905,199,244,4.772731164,4.8414,1.771578284
Region 1,202012,21/03/2020,5.8902,5658,27,101,83,1.08E-05,337,3.1,2.7,38723,44177,198,243,2.75585245,5.8902,2.137247045
Region 1,202013,28/03/2020,4.81145,12700,100,409,1219,4.45E-05,1180,6,3.9,47016,59923,199,233,1.932028814,4.81145,0.78984157
Region 1,202014,4/4/2020,4.35143,19619,295,1039,3081,8.42E-05,1227,7.4,3.4,56230,75862,198,231,1.29226471,4.35143,0.884476273
Region 1,202015,11/4/2020,3.3851,22430,4423,1714,5753,9.07E-05,1905,9.1,3.1,74392,97295,198,227,0.548172759,3.3851,0.439622806
Region 1,202016,18/04/2020,3.06329,27280,7802,1838,9288,9.04E-05,1470,9.4,2.5,87895,114754,193,233,0.577880855,3.06329,0.528837661
Region 1,202017,25/04/2020,2.10629,20621,7738,1566,22399,7.42E-05,9643,9,2,105340,125393,192,218,0.527918831,2.10629,0.658999186
Region 1,202018,2/5/2020,1.6573,16750,6851,1759,54342,6.39E-05,3101,8.1,1.5,116340,133504,192,216,0.407000907,1.6573,0.511312056
Region 1,202019,9/5/2020,1.33557,14152,6113,1387,67353,4.83E-05,2689,6.6,1,134417,148542,192,216,0.19968495,1.33557,0.346018316
Region 1,202020,16/05/2020,1.21178,12484,5185,1100,76875,3.76E-05,2663,5.2,0.9,160464,173034,191,214,0.365377415,1.21178,0.296216445
Region 1,202021,23/05/2020,0.925433,5808,3160,590,64332,2.23E-05,468,3.9,0.8,91014,96719,190,214,0.103337916,0.925433,0.709593015
Region 2,202001,4/1/2020,6.8076,0,0,0,0,0,0,2.7,2.9,0,0,195,258,5.62669557,6.8076,0.460897023
Region 2,202002,11/1/2020,6.21355,0,0,0,0,0,0,2.6,2.7,0,0,195,260,5.725419793,6.21355,0.42342874
Region 2,202003,18/01/2020,6.82351,0,0,0,0,0,0,2,2.2,0,0,195,263,5.662801324,6.82351,0.484874174
Region 2,202004,25/01/2020,7.61632,0,0,0,0,0,0,2.1,2.4,0,0,195,258,5.554024905,7.61632,0.446207238
Region 2,202005,1/2/2020,7.84756,0,0,0,0,0,0,2.4,2.7,0,0,195,262,5.590070829,7.84756,0.574664364
Region 2,202006,8/2/2020,7.88496,0,0,0,0,0,0,2.5,2.9,0,0,195,268,5.601160998,7.88496,1.058787651
Region 2,202007,15/02/2020,6.82339,0,0,0,0,0,0,2.4,2.8,0,0,195,255,6.219040908,6.82339,0.707221577
Region 2,202008,22/02/2020,5.85003,0,0,0,0,0,0,2,2.3,0,0,195,256,5.349708981,5.85003,0.406116089
Region 2,202009,29/02/2020,5.02494,93,0,0,0,0,0,1.8,1.9,44,117,195,254,5.010142807,5.02494,0.857793622
Region 2,202010,7/3/2020,5.5456,592,0,1,0,6.87E-07,0,1.6,1.7,2784,3278,195,255,5.770300452,5.5456,0.962019307
Region 2,202011,14/03/2020,7.58882,11022,0,59,0,4.12E-06,1603,2.2,2.2,32499,43613,195,251,5.65661184,7.58882,1.771578284
Region 2,202012,21/03/2020,11.1997,52933,4628,808,4771,1.51E-05,10451,4.4,4.1,87733,139508,195,238,4.085733075,11.1997,2.137247045
Region 2,202013,28/03/2020,11.9342,85447,21374,3543,45821,4.39E-05,19329,9.5,7.6,88225,172629,195,220,3.026396789,11.9342,0.78984157
Region 2,202014,4/4/2020,10.5281,91054,41124,6400,118019,6.11E-05,20417,14,9.1,111530,202322,195,235,1.789912529,10.5281,0.884476273
Region 2,202015,11/4/2020,7.83263,80821,49800,6624,201329,4.60E-05,16405,15.9,8.1,118443,197988,194,238,1.103356076,7.83263,0.439622806
Region 2,202016,18/04/2020,5.2178,70462,48877,5030,298147,3.71E-05,13426.5,14.5,5.7,162975,232491,195,242,0.864028889,5.2178,0.528837661
Region 2,202017,25/04/2020,3.50915,49427,17445,4190,452414,3.78E-05,9947.75,11.2,3.7,181330,230369,195,236,0.762574985,3.50915,0.658999186
Region 2,202018,2/5/2020,2.54707,33753,19092,3736,510421,3.02E-05,7234.625,7.8,2.1,204180,237695,194,232,0.535132863,2.54707,0.511312056
Region 2,202019,9/5/2020,1.92457,22621,24547,2342,532312,2.95E-05,5037.1875,5.8,1.4,372023,395138,194,229,0.268884437,1.92457,0.346018316
Region 2,202020,16/05/2020,1.79208,19624,18995,1636,604557,3.71E-05,3780.40625,3.9,0.9,357295,377004,194,195,0.374108621,1.79208,0.296216445
Region 2,202021,23/05/2020,1.45992,11525,10298,760,449727,2.61E-05,1009,2.9,0.8,320606,332124,194,163,0.397251567,1.45992,0.709593015
Region 3,202001,4/1/2020,5.48181,0,0,0,0,0,0,2.2,2.1,0,0,338,421,5.906340029,5.48181,0.460897023
Region 3,202002,11/1/2020,4.40187,0,0,0,0,0,0,2,1.8,0,0,341,424,6.111125626,4.40187,0.42342874
Region 3,202003,18/01/2020,4.61257,0,0,0,0,0,0,1.5,1.3,0,0,339,426,6.043238972,4.61257,0.484874174
Region 3,202004,25/01/2020,5.28306,0,0,0,0,0,0,1.5,1.4,0,0,341,420,5.931633613,5.28306,0.446207238
Region 3,202005,1/2/2020,6.30302,0,0,0,0,0,0,1.6,1.6,0,0,344,425,5.802252873,6.30302,0.574664364
Region 3,202006,8/2/2020,6.49099,0,0,0,0,0,0,1.8,1.8,0,0,345,424,5.64344906,6.49099,1.058787651
Region 3,202007,15/02/2020,5.78865,0,0,0,0,0,0,1.7,1.9,0,0,342,423,7.135053612,5.78865,0.707221577
Region 3,202008,22/02/2020,5.27725,0,0,0,0,0,0,1.7,1.6,0,0,344,426,5.7038057,5.27725,0.406116089
Region 3,202009,29/02/2020,5.16024,9,0,0,0,0,0,1.5,1.4,40,45,345,420,5.37360682,5.16024,0.857793622
Region 3,202010,7/3/2020,5.13153,127,0,0,0,1.96E-07,0,1.5,1.4,435,547,344,417,5.155349175,5.13153,0.962019307
Region 3,202011,14/03/2020,6.09776,733,0,7,0,5.88E-07,26,1.7,1.6,6843,7570,354,416,4.849429994,6.09776,1.771578284
Region 3,202012,21/03/2020,6.81259,4382,0,56,168,3.92E-06,331,2.8,2.5,42405,46655,354,416,2.724500606,6.81259,2.137247045
Region 3,202013,28/03/2020,4.93763,12166,0,215,1728,1.53E-05,965.5,5.3,3.8,70682,82912,355,403,1.546364624,4.93763,0.78984157
Region 3,202014,4/4/2020,3.76818,20977,1412,640,5787,2.29E-05,3535.25,5.5,3.2,84058,104839,357,384,0.904789726,3.76818,0.884476273
Region 3,202015,11/4/2020,2.97819,19808,3780,881,16545,2.96E-05,4525.375,5.8,2.6,57063,76007,359,377,0.359928176,2.97819,0.439622806
Region 3,202016,18/04/2020,2.40347,21933,6493,1562,28754,3.65E-05,4090.3125,5.9,2.2,83403,104675,360,374,0.376468532,2.40347,0.528837661
Region 3,202017,25/04/2020,2.03206,24254,6942,1584,40456,3.86E-05,4821.09375,5.8,1.7,116727,138934,358,402,0.530082533,2.03206,0.658999186
Region 3,202018,2/5/2020,1.80352,22832,7521,1973,56728,3.68E-05,4083.453125,5.5,1.5,109257,131504,360,392,0.473865805,1.80352,0.511312056
Region 3,202019,9/5/2020,1.44871,21832,6879,1373,75193,3.33E-05,2983.773438,5.2,1.2,141954,163502,361,384,0.197779212,1.44871,0.346018316
