region,week_end_date,wILI_historical,wILI
Region 1,2019-12-14,1.89441,1.89441
Region 2,2019-12-14,3.73351,3.73351
Region 3,2019-12-14,2.9809799999999997,2.9809799999999997
Region 4,2019-12-14,4.9900199999999995,4.9900199999999995
Region 5,2019-12-14,2.38962,2.38962
Region 6,2019-12-14,7.65132,7.65132
Region 7,2019-12-14,2.18788,2.18788
Region 8,2019-12-14,3.6190599999999997,3.6190599999999997
Region 9,2019-12-14,2.79434,2.79434
Region 10,2019-12-14,4.4852300000000005,4.4852300000000005
Region 1,2019-12-21,2.48714,2.48714
Region 2,2019-12-21,4.815869999999999,4.815869999999999
Region 3,2019-12-21,3.9161300000000003,3.9161300000000003
Region 4,2019-12-21,6.3993199999999995,6.3993199999999995
Region 5,2019-12-21,3.24511,3.24511
Region 6,2019-12-21,10.094,10.094
Region 7,2019-12-21,2.84278,2.84278
Region 8,2019-12-21,4.42455,4.42455
Region 9,2019-12-21,3.18597,3.18597
Region 10,2019-12-21,5.75694,5.75694
Region 1,2019-12-28,3.72534,3.72534
Region 2,2019-12-28,6.69473,6.69473
Region 3,2019-12-28,5.64113,5.64113
Region 4,2019-12-28,8.76978,8.76978
Region 5,2019-12-28,4.748069999999999,4.748069999999999
Region 6,2019-12-28,13.4177,13.4177
Region 7,2019-12-28,5.61966,5.61966
Region 8,2019-12-28,6.287730000000001,6.287730000000001
Region 9,2019-12-28,4.57955,4.57955
Region 10,2019-12-28,7.205839999999999,7.205839999999999
Region 1,2020-01-04,3.9241099999999998,3.9241099999999998
Region 2,2020-01-04,6.8076,6.8076
Region 3,2020-01-04,5.48181,5.48181
Region 4,2020-01-04,6.828710000000001,6.828710000000001
Region 5,2020-01-04,3.5009900000000003,3.5009900000000003
Region 6,2020-01-04,9.92572,9.92572
Region 7,2020-01-04,4.815259999999999,4.815259999999999
Region 8,2020-01-04,5.83864,5.83864
Region 9,2020-01-04,4.60219,4.60219
Region 10,2020-01-04,5.70858,5.70858
Region 1,2020-01-11,3.7012699999999996,3.7012699999999996
Region 2,2020-01-11,6.21355,6.21355
Region 3,2020-01-11,4.40187,4.40187
Region 4,2020-01-11,5.20526,5.20526
Region 5,2020-01-11,2.93816,2.93816
Region 6,2020-01-11,8.80263,8.80263
Region 7,2020-01-11,3.5707699999999996,3.5707699999999996
Region 8,2020-01-11,5.22858,5.22858
Region 9,2020-01-11,3.84239,3.84239
Region 10,2020-01-11,4.09724,4.09724
Region 1,2020-01-18,4.4928,4.4928
Region 2,2020-01-18,6.823510000000001,6.823510000000001
Region 3,2020-01-18,4.61257,4.61257
Region 4,2020-01-18,5.42548,5.42548
Region 5,2020-01-18,3.08013,3.08013
Region 6,2020-01-18,9.6399,9.6399
Region 7,2020-01-18,5.2512,5.2512
Region 8,2020-01-18,5.59314,5.59314
Region 9,2020-01-18,4.139880000000001,4.139880000000001
Region 10,2020-01-18,3.58253,3.58253
Region 1,2020-01-25,5.30744,5.30744
Region 2,2020-01-25,7.61632,7.61632
Region 3,2020-01-25,5.28306,5.28306
Region 4,2020-01-25,6.44801,6.44801
Region 5,2020-01-25,4.19214,4.19214
Region 6,2020-01-25,9.80358,9.80358
Region 7,2020-01-25,6.07977,6.07977
Region 8,2020-01-25,6.53231,6.53231
Region 9,2020-01-25,4.69436,4.69436
Region 10,2020-01-25,3.8196,3.8196
Region 1,2020-02-01,6.43852,6.43852
Region 2,2020-02-01,7.8475600000000005,7.8475600000000005
Region 3,2020-02-01,6.30302,6.30302
Region 4,2020-02-01,7.4601,7.4601
Region 5,2020-02-01,5.01535,5.01535
Region 6,2020-02-01,10.6915,10.6915
Region 7,2020-02-01,6.87522,6.87522
Region 8,2020-02-01,6.83166,6.83166
Region 9,2020-02-01,4.73649,4.73649
Region 10,2020-02-01,3.89226,3.89226
Region 1,2020-02-08,7.152589999999999,7.152589999999999
Region 2,2020-02-08,7.88496,7.88496
Region 3,2020-02-08,6.49099,6.49099
Region 4,2020-02-08,7.298360000000001,7.298360000000001
Region 5,2020-02-08,5.53826,5.53826
Region 6,2020-02-08,10.3064,10.3064
Region 7,2020-02-08,7.253310000000001,7.253310000000001
Region 8,2020-02-08,6.7038,6.7038
Region 9,2020-02-08,4.85089,4.85089
Region 10,2020-02-08,3.51263,3.51263
Region 1,2020-02-15,6.45158,6.45158
Region 2,2020-02-15,6.82339,6.82339
Region 3,2020-02-15,5.78865,5.78865
Region 4,2020-02-15,6.3215699999999995,6.3215699999999995
Region 5,2020-02-15,5.24627,5.24627
Region 6,2020-02-15,9.38838,9.38838
Region 7,2020-02-15,6.3651599999999995,6.3651599999999995
Region 8,2020-02-15,5.85173,5.85173
Region 9,2020-02-15,4.51999,4.51999
